Clone	Days	Fluorescence	Percent
3	9	Neongreen	6.54
3	4	Neongreen	1
3	3	Neongreen	1.11
3	2	Neongreen	2.49
3	1	Neongreen	17.28
3	0	Neongreen	27.04
5	9	Neongreen	5.17
5	4	Neongreen	1.98
5	3	Neongreen	1.73
5	2	Neongreen	5.76
5	1	Neongreen	34.63
5	0	Neongreen	53.16
7	9	Neongreen	2.29
7	4	Neongreen	0.72
7	3	Neongreen	0.67
7	2	Neongreen	1.56
7	1	Neongreen	15.21
7	0	Neongreen	39.78
9	9	Neongreen	5.21
9	4	Neongreen	1.82
9	3	Neongreen	2.08
9	2	Neongreen	7.56
9	1	Neongreen	32.68
9	0	Neongreen	46.63
