,gastruloid,V1,V2,scs.cpart,clust_C5F10,clust_C5A9,clust_C5B10,clust_C5C6,clust_C5G7,clust_C5H11,clust_C5H7,clust_C5H9
A1_1,C5A4,16.7460425508985,3.5401827653314797,7.0,,,,,,,,
A1_10,C5C3,18.0729645458755,6.735950136493731,6.0,,,,,,,,
A1_100,C5C3,9.61548007640258,8.11468898339224,7.0,,,,,,,,
A1_102,C5C3,-13.2098650784665,-4.34892364968978,2.0,,,,,,,,
A1_105,C5C3,7.710260135772709,7.99526770183502,7.0,,,,,,,,
A1_106,C5C3,16.7674134960564,0.256706802709528,3.0,,,,,,,,
A1_107,C5C3,-3.79304434355476,6.27736623961442,1.0,,,,,,,,
A1_109,C5C3,-10.3513521157117,-5.40159845606633,2.0,,,,,,,,
A1_111,C5C3,11.9767934791538,2.4009753390716804,3.0,,,,,,,,
A1_113,C5C3,-10.3399047537042,-6.33652654814718,2.0,,,,,,,,
A1_114,C5C3,5.58325556298666,-12.647732970601302,9.0,,,,,,,,
A1_116,C5C3,-36.1979618739963,1.1600613120413898,4.0,,,,,,,,
A1_117,C5C3,-12.514354196192,-0.068967130552315,1.0,,,,,,,,
A1_121,C5F2,-13.848775137527198,-2.29833460122822,2.0,,,,,,,,
A1_125,C5F2,-5.01072707792298,14.0109194101262,11.0,,,,,,,,
A1_126,C5F2,19.0667656224962,11.866209679937699,6.0,,,,,,,,
A1_127,C5F2,-10.873125032337,0.287894497672248,1.0,,,,,,,,
A1_128,C5F2,17.4068278256617,10.9033337718684,6.0,,,,,,,,
A1_129,C5F2,-36.6531107332545,4.79359548127381,4.0,,,,,,,,
A1_13,C5C3,-1.11097166057547,1.0191503165481,3.0,,,,,,,,
A1_132,C5C3,-37.7976798868923,2.22861135498233,4.0,,,,,,,,
A1_133,C5C3,-7.470984934922219,3.19428165927265,1.0,,,,,,,,
A1_134,C5C3,15.234282727799599,7.30980210153404,7.0,,,,,,,,
A1_137,C5C3,12.6724482947297,20.1363948733776,1.0,,,,,,,,
A1_140,C5C3,20.5632481476126,-1.09576126700854,6.0,,,,,,,,
A1_141,C5C3,13.8340602630125,6.27815925530344,7.0,,,,,,,,
A1_142,C5C3,11.199007406087,1.63524548138397,7.0,,,,,,,,
A1_143,C5C3,28.086861122066697,-1.5785698783394297,3.0,,,,,,,,
A1_144,C5C3,0.66009330038085,-2.2574197434720498,9.0,,,,,,,,
A1_145,C5F2,-4.646560877359151,-4.17483072293149,3.0,,,,,,,,
A1_146,C5F2,10.428385428865,5.31287057079688,7.0,,,,,,,,
A1_147,C5F2,13.914219217130698,13.1125464119563,7.0,,,,,,,,
A1_149,C5F2,-3.458861025024,4.57711811403425,1.0,,,,,,,,
A1_15,C5C3,-10.951673915668302,-16.789409241866,5.0,,,,,,,,
A1_150,C5F2,-4.88768218020162,13.860205371076601,11.0,,,,,,,,
A1_151,C5F2,-12.3936731022109,-3.25949562433287,2.0,,,,,,,,
A1_152,C5F2,0.11153484970414,2.44535317590192,1.0,,,,,,,,
A1_153,C5F2,-4.39783232707821,2.94220146993074,1.0,,,,,,,,
A1_155,C5F2,-7.9134571180494495,0.28207328397231607,1.0,,,,,,,,
A1_157,C5F2,-4.75798415736108,13.8377100332055,11.0,,,,,,,,
A1_159,C5F2,-1.00408899876042,2.70896974818333,1.0,,,,,,,,
A1_16,C5C3,6.58898630013669,-8.57724168513888,9.0,,,,,,,,
A1_160,C5F2,-12.899430714342401,0.841805517166569,1.0,,,,,,,,
A1_161,C5F2,19.6953496061927,1.2785472155234399,3.0,,,,,,,,
A1_163,C5F2,14.293420302444,9.406142925841019,7.0,,,,,,,,
A1_164,C5F2,0.23644274219024802,3.21506795281452,3.0,,,,,,,,
A1_165,C5F2,17.1077170482025,7.203107041538679,7.0,,,,,,,,
A1_166,C5F2,-8.056587843853931,3.1491909985332,1.0,,,,,,,,
A1_167,C5F2,-1.09761633148086,3.2048074546072,9.0,,,,,,,,
A1_168,C5F2,15.5744348189602,14.764788214737301,9.0,,,,,,,,
A1_169,C5F2,-5.37446211250559,-0.29165974727577804,1.0,,,,,,,,
A1_172,C5F2,7.3350849950109005,4.3668438032519905,7.0,,,,,,,,
A1_174,C5F2,13.487893268831801,10.5418590166455,7.0,,,,,,,,
A1_175,C5F2,-1.9336305246732801,4.68804028879199,1.0,,,,,,,,
A1_177,C5F2,19.3705771986101,10.3039588527571,6.0,,,,,,,,
A1_178,C5F2,-15.142145702571499,-3.0239110885787404,2.0,,,,,,,,
A1_179,C5F2,-4.15098088432852,-4.987023849730231,3.0,,,,,,,,
A1_18,C5C3,-4.89373614858299,-7.20450335773221,3.0,,,,,,,,
A1_180,C5F2,18.948088374332897,12.885408398041802,6.0,,,,,,,,
A1_181,C5F2,7.67639048704378,2.39157203153867,7.0,,,,,,,,
A1_185,C5F2,20.3455028290423,8.35651178319582,6.0,,,,,,,,
A1_186,C5F2,7.6275927527793,6.807923208604059,7.0,,,,,,,,
A1_187,C5F2,23.3165594218897,7.791710477843901,6.0,,,,,,,,
A1_188,C5F2,-1.46496606349951,4.73510843703309,1.0,,,,,,,,
A1_189,C5F2,17.7599907245849,3.3585155183262403,7.0,,,,,,,,
A1_191,C5F2,-6.29761047975826,-1.61852098572218,3.0,,,,,,,,
A1_194,C5F2,-37.5916511086575,3.4886265892500097,4.0,,,,,,,,
A1_196,C5F2,-3.62761965463551,4.56000435952489,1.0,,,,,,,,
A1_197,C5F2,17.1476726796031,15.408814270679601,3.0,,,,,,,,
A1_198,C5F2,13.425284100847001,4.3680186512153,7.0,,,,,,,,
A1_2,C5A4,-7.3529868140116,21.858195416147197,8.0,,,,,,,,
A1_20,C5C3,7.64445611886575,-3.67108748274323,3.0,,,,,,,,
A1_200,C5F2,19.8735899090699,8.76114604780519,6.0,,,,,,,,
A1_202,C5F2,22.2827100038048,5.087923750925059,6.0,,,,,,,,
A1_203,C5F2,14.113380721296599,9.361414867584982,7.0,,,,,,,,
A1_204,C5F2,-4.2258610517500905,5.56586724199729,1.0,,,,,,,,
A1_205,C5F2,15.535377299443601,10.8215704607338,6.0,,,,,,,,
A1_208,C5F2,17.8525112712144,2.1446472517116897,6.0,,,,,,,,
A1_209,C5F2,4.800749102317809,-0.787941447211075,3.0,,,,,,,,
A1_211,C5F2,-1.21200363390558,3.7905193775069796,1.0,,,,,,,,
A1_212,C5F2,19.964934683094498,7.599753792656079,6.0,,,,,,,,
A1_213,C5F2,11.8559195254652,3.8191689415051,7.0,,,,,,,,
A1_214,C5F2,19.996324012611197,9.060922996811119,6.0,,,,,,,,
A1_215,C5F2,-39.5715308501473,0.0390569857935136,4.0,,,,,,,,
A1_216,C5F2,2.9830419944983304,0.7764604905351241,9.0,,,,,,,,
A1_218,C5F2,16.2012517897175,7.76429492681312,6.0,,,,,,,,
A1_219,C5F2,18.8136805302775,12.8606246223825,6.0,,,,,,,,
A1_22,C5C3,-39.2462717125412,0.9152635029997909,4.0,,,,,,,,
A1_220,C5F2,-8.11888712972066,21.645866114801002,8.0,,,,,,,,
A1_221,C5F2,25.4296216147609,6.50093053308514,6.0,,,,,,,,
A1_222,C5F2,24.776585518537697,6.4587447689529,6.0,,,,,,,,
A1_224,C5F2,-7.23448458532618,20.7672222249417,8.0,,,,,,,,
A1_225,C5F2,-7.291718573121929,4.72296917668557,1.0,,,,,,,,
A1_228,C5F2,-6.73693864957521,21.3125895447172,8.0,,,,,,,,
A1_229,C5F2,-7.68919125544936,-21.1618513258028,5.0,,,,,,,,
A1_230,C5F2,13.550639762676498,10.875772775599401,7.0,,,,,,,,
A1_232,C5F2,-5.542821730200339,3.30970477457874,1.0,,,,,,,,
A1_233,C5F2,9.83662711429671,6.58035024271831,7.0,,,,,,,,
A1_234,C5F2,4.37970939556818,-6.932487521455069,1.0,,,,,,,,
A1_236,C5F2,1.9994282070976102,5.029280702240849,1.0,,,,,,,,
A1_237,C5F2,-16.0491208595388,-16.545838340901803,6.0,,,,,,,,
A1_239,C5F2,-1.1510195119126398,0.51715771351394,9.0,,,,,,,,
A1_24,C5C3,9.92071011395824,-5.53654205615865,7.0,,,,,,,,
A1_240,C5F2,-14.518321759712501,-0.17429880176649404,1.0,,,,,,,,
A1_241,C5F2,8.89635942954053,7.03441749032468,7.0,,,,,,,,
A1_242,C5F2,11.104426478057402,-10.2761419419721,9.0,,,,,,,,
A1_243,C5F2,22.3044879996658,-1.29834159638565,6.0,,,,,,,,
A1_244,C5F2,15.258285924905099,2.8706229976616,7.0,,,,,,,,
A1_246,C5F2,14.4237351590405,11.1974845461976,7.0,,,,,,,,
A1_247,C5F2,19.361120926989397,12.7139952407855,6.0,,,,,,,,
A1_248,C5F2,-7.06175841052446,15.6498973033865,1.0,,,,,,,,
A1_249,C5F2,-0.22890480698510102,6.4001369860868795,1.0,,,,,,,,
A1_25,C5C3,14.4793329609161,6.42436577931407,6.0,,,,,,,,
A1_250,C5F2,-15.585738077042999,-4.01795167610503,2.0,,,,,,,,
A1_251,C5F2,-11.8114865272609,-2.9983045975112996,2.0,,,,,,,,
A1_252,C5F2,-1.8040814279950201,4.6998165474755496,1.0,,,,,,,,
A1_253,C5F2,-4.17150296934988,4.72704360293515,1.0,,,,,,,,
A1_254,C5F2,-13.454054771359,-3.4736405812057205,2.0,,,,,,,,
A1_255,C5F2,-7.03447890287101,6.6119341366764495,1.0,,,,,,,,
A1_256,C5F2,18.6914353261215,12.6838579663282,6.0,,,,,,,,
A1_257,C5F2,1.15466114374921,-10.8810244135832,7.0,,,,,,,,
A1_259,C5F2,19.3236815798264,10.1608253244946,6.0,,,,,,,,
A1_260,C5F2,-1.69709515729506,4.68628420553771,1.0,,,,,,,,
A1_261,C5F2,16.5391705482702,2.43323103523872,7.0,,,,,,,,
A1_262,C5F2,-36.8231822423286,4.22038008861841,4.0,,,,,,,,
A1_264,C5F2,14.598642718422802,6.64812170327431,7.0,,,,,,,,
A1_269,C5F2,19.674670825215603,10.081731750380401,6.0,,,,,,,,
A1_27,C5C3,17.5970001396167,0.23015176821015101,7.0,,,,,,,,
A1_270,C5F2,-1.95964863491073,5.96222875760845,1.0,,,,,,,,
A1_271,C5F2,0.129667252357828,3.5469183388950403,3.0,,,,,,,,
A1_273,C5F2,-15.289926755718,0.736054616979537,1.0,,,,,,,,
A1_274,C5F2,-5.034636319641661,3.24632721599927,1.0,,,,,,,,
A1_275,C5F2,16.6779103802891,11.812954924252,6.0,,,,,,,,
A1_276,C5F2,-9.20095699387637,6.0206531358217,1.0,,,,,,,,
A1_277,C5F2,21.4227210456126,4.47895675609239,6.0,,,,,,,,
A1_278,C5F2,-10.6450004206944,-4.691461031273559,2.0,,,,,,,,
A1_28,C5C3,-1.8720369919425202,0.752844069150915,3.0,,,,,,,,
A1_280,C5F2,11.8985548697261,10.3423184754458,7.0,,,,,,,,
A1_281,C5F2,-12.616987146657697,-0.983406347578414,1.0,,,,,,,,
A1_282,C5F2,19.5703171813832,12.075061193383998,6.0,,,,,,,,
