Day	Fluorescence	Replicate	Induction	Sample	Percentage
0	Neongreen	d	noninduced	mESC	63.94
0	Scarlet	d	noninduced	mESC	0.56
0	Negative	d	noninduced	mESC	3.93
0	Neongreen	d	noninduced	EB	63.38
0	Scarlet	d	noninduced	EB	0.84
0	Negative	d	noninduced	EB	4.53
0	Neongreen	a	induced	mESC	63.94
0	Scarlet	a	induced	mESC	0.56
0	Negative	a	induced	mESC	3.93
0	Neongreen	a	induced	EB	63.38
0	Scarlet	a	induced	EB	0.84
0	Negative	a	induced	EB	4.53
0	Neongreen	wt	wt	mESC	0.06
0	Scarlet	wt	wt	mESC	0.03
0	Negative	wt	wt	mESC	99.91
1	Neongreen	d	noninduced	mESC	72.10
1	Scarlet	d	noninduced	mESC	0.27
1	Negative	d	noninduced	mESC	5.81
1	Neongreen	d	noninduced	EB	78.07
1	Scarlet	d	noninduced	EB	0.26
1	Negative	d	noninduced	EB	9.73
1	Neongreen	wt	wt	mESC	0.02
1	Scarlet	wt	wt	mESC	0.02
1	Negative	wt	wt	mESC	99.96
1	Neongreen	c5	c5	mESC	39.51
1	Scarlet	c5	c5	mESC	0.05
1	Negative	c5	c5	mESC	1.66
1	Neongreen	a	induced	mESC	36.06
1	Scarlet	a	induced	mESC	6.22
1	Negative	a	induced	mESC	21.87
1	Neongreen	b	induced	mESC	31.85
1	Scarlet	b	induced	mESC	8.03
1	Negative	b	induced	mESC	21.67
1	Neongreen	c	induced	mESC	30.66
1	Scarlet	c	induced	mESC	8.05
1	Negative	c	induced	mESC	23.33
1	Neongreen	a	induced	EB	49.86
1	Scarlet	a	induced	EB	2.83
1	Negative	a	induced	EB	28.38
1	Neongreen	b	induced	EB	47.25
1	Scarlet	b	induced	EB	3.66
1	Negative	b	induced	EB	24.23
1	Neongreen	c	induced	EB	51.11
1	Scarlet	c	induced	EB	3.07
1	Negative	c	induced	EB	27.62
2	Neongreen	d	noninduced	mESC	74.26
2	Scarlet	d	noninduced	mESC	0.51
2	Negative	d	noninduced	mESC	14.22
2	Neongreen	d	noninduced	EB	60.98
2	Scarlet	d	noninduced	EB	0.67
2	Negative	d	noninduced	EB	32.51
2	Neongreen	wt	wt	mESC	0.01
2	Scarlet	wt	wt	mESC	0.02
2	Negative	wt	wt	mESC	99.96
2	Neongreen	c5	c5	mESC	44.74
2	Scarlet	c5	c5	mESC	0.00
2	Negative	c5	c5	mESC	0.6
2	Neongreen	a	induced	mESC	3.51
2	Scarlet	a	induced	mESC	42.82
2	Negative	a	induced	mESC	50.88
2	Neongreen	b	induced	mESC	3.45
2	Scarlet	b	induced	mESC	44.60
2	Negative	b	induced	mESC	49.23
2	Neongreen	c	induced	mESC	3.39
2	Scarlet	c	induced	mESC	43.59
2	Negative	c	induced	mESC	50.40
2	Neongreen	a	induced	EB	10.16
2	Scarlet	a	induced	EB	21.64
2	Negative	a	induced	EB	58.22
2	Neongreen	b	induced	EB	10.23
2	Scarlet	b	induced	EB	21.63
2	Negative	b	induced	EB	57.53
2	Neongreen	c	induced	EB	9.12
2	Scarlet	c	induced	EB	22.98
2	Negative	c	induced	EB	57.75
3	Neongreen	d	noninduced	mESC	64.93
3	Scarlet	d	noninduced	mESC	1.06
3	Negative	d	noninduced	mESC	9.15
3	Neongreen	d	noninduced	EB	13.75
3	Scarlet	d	noninduced	EB	0.96
3	Negative	d	noninduced	EB	83.29
3	Neongreen	wt	wt	mESC	0.02
3	Scarlet	wt	wt	mESC	0.09
3	Negative	wt	wt	mESC	99.89
3	Neongreen	c5	c5	mESC	20.59
3	Scarlet	c5	c5	mESC	0.11
3	Negative	c5	c5	mESC	1.17
3	Neongreen	a	induced	mESC	3.31
3	Scarlet	a	induced	mESC	81.11
3	Negative	a	induced	mESC	12.73
3	Neongreen	b	induced	mESC	3.28
3	Scarlet	b	induced	mESC	80.75
3	Negative	b	induced	mESC	13.00
3	Neongreen	c	induced	mESC	5.39
3	Scarlet	c	induced	mESC	5.03
3	Negative	c	induced	mESC	87.03
3	Neongreen	a	induced	EB	1.02
3	Scarlet	a	induced	EB	20.38
3	Negative	a	induced	EB	75.71
3	Neongreen	b	induced	EB	1.59
3	Scarlet	b	induced	EB	24.18
3	Negative	b	induced	EB	70.99
3	Neongreen	c	induced	EB	1.32
3	Scarlet	c	induced	EB	24.28
3	Negative	c	induced	EB	71.35
4	Neongreen	d	noninduced	mESC	64.36
4	Scarlet	d	noninduced	mESC	1.78
4	Negative	d	noninduced	mESC	14.92
4	Neongreen	d	noninduced	EB	1.55
4	Scarlet	d	noninduced	EB	0.85
4	Negative	d	noninduced	EB	97.03
4	Neongreen	wt	wt	mESC	0.13
4	Scarlet	wt	wt	mESC	0.01
4	Negative	wt	wt	mESC	99.86
4	Neongreen	c5	c5	mESC	40.35
4	Scarlet	c5	c5	mESC	0.02
4	Negative	c5	c5	mESC	0.94
4	Neongreen	a	induced	mESC	2.93
4	Scarlet	a	induced	mESC	82.87
4	Negative	a	induced	mESC	11.85
4	Neongreen	b	induced	mESC	2.92
4	Scarlet	b	induced	mESC	82.69
4	Negative	b	induced	mESC	11.51
4	Neongreen	c	induced	mESC	3.13
4	Scarlet	c	induced	mESC	82.65
4	Negative	c	induced	mESC	11.69
4	Neongreen	a	induced	EB	0.49
4	Scarlet	a	induced	EB	13.20
4	Negative	a	induced	EB	85.57
4	Neongreen	b	induced	EB	0.40
4	Scarlet	b	induced	EB	14.29
4	Negative	b	induced	EB	84.25
4	Neongreen	c	induced	EB	0.56
4	Scarlet	c	induced	EB	16.96
4	Negative	c	induced	EB	81.38
7	Neongreen	d	noninduced	mESC	54.81
7	Scarlet	d	noninduced	mESC	2.61
